Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 11:14:15,26.0,male,munich,Software Development,5.0,3.0,Senior,typescript,"Kotlin, Javascript / Typescript",80000.0,5000,75000.0,10000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 11:14:16,26.0,male,berlin,Software Development,7.0,4.0,Senior,ruby,,80000.0,,82000.0,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:14:21,29.0,male,berlin,Software Development,12.0,6.0,Lead,javascript,"Javascript / Typescript, Docker",120000.0,120000,100000.0,100000,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,
24/11/2020 11:15:24,28.0,male,berlin,Software Development,4.0,1.0,Junior,,,54000.0,,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 11:15:46,37.0,male,berlin,Software Development,17.0,6.0,Senior,c#,".NET, SQL, AWS, Docker",62000.0,,62000.0,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:15:53,32.0,male,berlin,Operations & Support,5.0,1.0,Senior,aws,"Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000,76000.0,5000,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
24/11/2020 11:16:35,37.0,male,berlin,Software Development,6.0,0.4,Middle,,,57000.0,,,,24,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 11:16:44,24.0,male,berlin,Software Development,5.0,1.0,Senior,,Javascript / Typescript,65000.0,,65000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,600
24/11/2020 11:17:24,29.0,male,berlin,Software Development,8.0,2.0,Senior,php,"SQL, AWS, Docker",56000.0,,55000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,30.0,
24/11/2020 11:17:50,35.0,male,berlin,Software Development,15.0,3.0,Lead,java,,95000.0,,90000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
24/11/2020 11:18:06,32.0,female,hamburg,Data & AI,2.0,2.0,Junior,,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,,52500.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 11:18:16,,male,berlin,Software Development,25.0,11.0,Senior,c++,"Python, C/C++, SQL",100000.0,101,80000.0,13000,24,Self-employed (freelancer),Temporary contract,English,11-50,Product,Yes,,
24/11/2020 11:18:22,,,berlin,Software Development,,,Lead,,,90000.0,40000,,,,Full-time employee,Unlimited contract,English,1000+,,No,,1000
24/11/2020 11:18:26,34.0,male,berlin,Software Development,14.0,5.0,Senior,,"PHP, Javascript / Typescript, AWS",70000.0,,,,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,0.0,
24/11/2020 11:18:40,28.0,male,berlin,Other Roles,11.0,2.0,Senior,,,75000.0,9400,66000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,Yes,,
24/11/2020 11:18:41,31.0,male,wolfsburg,Software Development,5.0,1.0,Senior,kotlin,,75000.0,2000,75000.0,2000,25,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,
24/11/2020 11:18:52,29.0,male,hamburg,Software Development,7.0,3.0,Middle,,"Go, Kubernetes, Docker",60350.0,,58000.0,500,31,Full-time employee,Unlimited contract,English,1000+,Product,i didn't but will be looking for new one because of covid,0.0,
24/11/2020 11:19:10,41.0,male,berlin,Management & Leadership,18.0,2.0,Senior,,SQL,78000.0,,100000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
24/11/2020 11:20:03,27.0,male,berlin,Software Development,8.0,3.0,Senior,,,60000.0,,55000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:20:49,34.0,male,berlin,Software Development,11.0,5.0,Lead,,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,80000,75000.0,75000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:21:10,34.0,male,berlin,Operations & Support,13.0,5.0,Senior,,,103000.0,,90000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:21:18,34.0,male,berlin,Software Development,15.0,9.0,Lead,node.js,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000.0,,92000.0,7000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,
